color,icon,wild,flex,double,modifiers
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
r,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
g,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
b,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
y,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
m,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
o,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
p,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
s,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
i,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
a,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
j,+2,true,,,
