color,icon,wild,flex,double,modifiers
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
r,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
g,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
b,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
y,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
m,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
o,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
p,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
s,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
i,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
a,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
j,+2,,,,
