color,icon,wild,flex,double,modifiers
r,+1-6,,,,
g,+1-6,,,,
y,+1-6,,,,
b,+1-6,,,,
p,+1-6,,,,
m,+1-6,,,,
o,+1-6,,,,
s,+1-6,,,,
i,+1-6,,,,
a,+1-6,,,,
r,+1,,,,
g,+1,,,,
y,+1,,,,
b,+1,,,,
p,+1,,,,
m,+1,,,,
o,+1,,,,
s,+1,,,,
i,+1,,,,
a,+1,,,,
r,+10,,,,
g,+10,,,,
y,+10,,,,
b,+10,,,,
p,+10,,,,
m,+10,,,,
o,+10,,,,
s,+10,,,,
i,+10,,,,
a,+10,,,,
r,+2,,,,
g,+2,,,,
y,+2,,,,
b,+2,,,,
p,+2,,,,
m,+2,,,,
o,+2,,,,
s,+2,,,,
i,+2,,,,
a,+2,,,,
r,+3,,,,
g,+3,,,,
y,+3,,,,
b,+3,,,,
p,+3,,,,
m,+3,,,,
o,+3,,,,
s,+3,,,,
i,+3,,,,
a,+3,,,,
r,+4,,,,
g,+4,,,,
y,+4,,,,
b,+4,,,,
p,+4,,,,
m,+4,,,,
o,+4,,,,
s,+4,,,,
i,+4,,,,
a,+4,,,,
r,+5,,,,
g,+5,,,,
y,+5,,,,
b,+5,,,,
p,+5,,,,
m,+5,,,,
o,+5,,,,
s,+5,,,,
i,+5,,,,
a,+5,,,,
r,+6,,,,
g,+6,,,,
y,+6,,,,
b,+6,,,,
p,+6,,,,
m,+6,,,,
o,+6,,,,
s,+6,,,,
i,+6,,,,
a,+6,,,,
r,+7,,,,
g,+7,,,,
y,+7,,,,
b,+7,,,,
p,+7,,,,
m,+7,,,,
o,+7,,,,
s,+7,,,,
i,+7,,,,
a,+7,,,,
r,+8,,,,
g,+8,,,,
y,+8,,,,
b,+8,,,,
p,+8,,,,
m,+8,,,,
o,+8,,,,
s,+8,,,,
i,+8,,,,
a,+8,,,,
r,+9,,,,
g,+9,,,,
y,+9,,,,
b,+9,,,,
p,+9,,,,
m,+9,,,,
o,+9,,,,
s,+9,,,,
i,+9,,,,
a,+9,,,,
r,5050,,,,
g,5050,,,,
y,5050,,,,
b,5050,,,,
p,5050,,,,
m,5050,,,,
o,5050,,,,
s,5050,,,,
i,5050,,,,
a,5050,,,,
r,dance,,,,
g,dance,,,,
y,dance,,,,
b,dance,,,,
p,dance,,,,
m,dance,,,,
o,dance,,,,
s,dance,,,,
i,dance,,,,
a,dance,,,,
r,flip,,,,
g,flip,,,,
y,flip,,,,
b,flip,,,,
p,flip,,,,
m,flip,,,,
o,flip,,,,
s,flip,,,,
i,flip,,,,
a,flip,,,,
r,gr1,,,,
g,gr1,,,,
y,gr1,,,,
b,gr1,,,,
p,gr1,,,,
m,gr1,,,,
o,gr1,,,,
s,gr1,,,,
i,gr1,,,,
a,gr1,,,,
r,gr2,,,,
g,gr2,,,,
y,gr2,,,,
b,gr2,,,,
p,gr2,,,,
m,gr2,,,,
o,gr2,,,,
s,gr2,,,,
i,gr2,,,,
a,gr2,,,,
r,grr,,,,
g,grr,,,,
y,grr,,,,
b,grr,,,,
p,grr,,,,
m,grr,,,,
o,grr,,,,
s,grr,,,,
i,grr,,,,
a,grr,,,,
r,icecream,,,,
g,icecream,,,,
y,icecream,,,,
b,icecream,,,,
p,icecream,,,,
m,icecream,,,,
o,icecream,,,,
s,icecream,,,,
i,icecream,,,,
a,icecream,,,,
r,icecream2,,,,
g,icecream2,,,,
y,icecream2,,,,
b,icecream2,,,,
p,icecream2,,,,
m,icecream2,,,,
o,icecream2,,,,
s,icecream2,,,,
i,icecream2,,,,
a,icecream2,,,,
r,kettle,,,,
g,kettle,,,,
y,kettle,,,,
b,kettle,,,,
p,kettle,,,,
m,kettle,,,,
o,kettle,,,,
s,kettle,,,,
i,kettle,,,,
a,kettle,,,,
r,microwave,,,,
g,microwave,,,,
y,microwave,,,,
b,microwave,,,,
p,microwave,,,,
m,microwave,,,,
o,microwave,,,,
s,microwave,,,,
i,microwave,,,,
a,microwave,,,,
r,re,,,,
g,re,,,,
y,re,,,,
b,re,,,,
p,re,,,,
m,re,,,,
o,re,,,,
s,re,,,,
i,re,,,,
a,re,,,,
r,reflect,,,,
g,reflect,,,,
y,reflect,,,,
b,reflect,,,,
p,reflect,,,,
m,reflect,,,,
o,reflect,,,,
s,reflect,,,,
i,reflect,,,,
a,reflect,,,,
r,rsk,,,,
g,rsk,,,,
y,rsk,,,,
b,rsk,,,,
p,rsk,,,,
m,rsk,,,,
o,rsk,,,,
s,rsk,,,,
i,rsk,,,,
a,rsk,,,,
r,sas,,,,
g,sas,,,,
y,sas,,,,
b,sas,,,,
p,sas,,,,
m,sas,,,,
o,sas,,,,
s,sas,,,,
i,sas,,,,
a,sas,,,,
r,shield,,,,
g,shield,,,,
y,shield,,,,
b,shield,,,,
p,shield,,,,
m,shield,,,,
o,shield,,,,
s,shield,,,,
i,shield,,,,
a,shield,,,,
r,sk,,,,
g,sk,,,,
y,sk,,,,
b,sk,,,,
p,sk,,,,
m,sk,,,,
o,sk,,,,
s,sk,,,,
i,sk,,,,
a,sk,,,,
r,tradehands,,,,
g,tradehands,,,,
y,tradehands,,,,
b,tradehands,,,,
p,tradehands,,,,
m,tradehands,,,,
o,tradehands,,,,
s,tradehands,,,,
i,tradehands,,,,
a,tradehands,,,,
