color,icon,wild,flex,double,modifiers
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
r,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
g,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
b,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
y,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
m,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
o,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
p,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
s,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
i,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
a,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
j,flip,,,,
