color,icon,wild,flex,double,modifiers
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,-c,,,,
r,re,,,,
r,-c,,,,
r,-c,,,,
r,re,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,-c,,,,
b,re,,,,
b,-c,,,,
b,-c,,,,
b,re,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,-c,,,,
g,re,,,,
g,-c,,,,
g,-c,,,,
g,re,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,-c,,,,
y,re,,,,
y,-c,,,,
y,-c,,,,
y,re,,,,
