color,icon,wild,flex,double,modifiers
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
r,slap,,,,
